candidate_event_id,session_id,user_id,is_anomaly,scene_type,scene_hint,expected_risk,start_time,object_domain
U0001_S00000001,S00000001,U0001,1,usb_copy_delete,高敏数据导出后拷贝到未备案 USB 并删除痕迹,high,2026-04-20 23:16:36,涉案财产
U0001_S00000002,S00000002,U0001,0,normal,正常业务会话,low,2026-04-20 10:50:53,案件
U0001_S00000003,S00000003,U0001,0,normal,正常业务会话,low,2026-04-20 11:59:10,人口
U0001_S00000004,S00000004,U0001,0,normal,正常业务会话,low,2026-04-20 14:02:31,人口
U0002_S00000005,S00000005,U0002,0,normal,正常业务会话,low,2026-04-20 14:27:04,案件
U0002_S00000006,S00000006,U0002,0,normal,正常业务会话,low,2026-04-20 11:23:29,车辆
U0003_S00000007,S00000007,U0003,1,cross_dept_query_export,跨部门高频查询后导出,high,2026-04-20 19:38:01,涉案财产
U0003_S00000008,S00000008,U0003,1,offhour_query_export_delete,非工作时段高敏查询、批量导出、落地后清痕,high,2026-04-20 22:19:48,通信
U0003_S00000009,S00000009,U0003,0,normal,正常业务会话,low,2026-04-20 10:56:52,系统
U0004_S00000010,S00000010,U0004,1,usb_copy_delete,高敏数据导出后拷贝到未备案 USB 并删除痕迹,high,2026-04-20 23:36:19,涉案财产
U0004_S00000011,S00000011,U0004,0,normal,正常业务会话,low,2026-04-20 12:02:21,认证域
U0005_S00000012,S00000012,U0005,1,offhour_query_export_delete,非工作时段高敏查询、批量导出、落地后清痕,high,2026-04-20 02:38:30,人口
U0005_S00000013,S00000013,U0005,1,usb_copy_delete,高敏数据导出后拷贝到未备案 USB 并删除痕迹,high,2026-04-20 23:37:38,案件
U0006_S00000014,S00000014,U0006,0,normal,正常业务会话,low,2026-04-20 16:42:58,案件
